,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
14,akumarthisuryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,M,395000.0,0,0,andhra_pradesh,amalapuram,2009,SC,17999,1023765,1.76,12998
15,bheemaraoramjimuthabathula,PPOI,0,10th Pass,39,M,50000.0,0,0,andhra_pradesh,amalapuram,2009,SC,7261,1023765,0.71,6298
16,kirankumarbinepe,PBHP,0,Not Given,43,M,15887.0,0,0,andhra_pradesh,amalapuram,2009,SC,4810,1023765,0.47,6124
17,masaramadasu,RDMP,0,Not Given,45,M,20000.0,0,0,andhra_pradesh,amalapuram,2009,SC,2557,1023765,0.25,6447
18,pothulaprameeladevi,PRAP,0,Graduate,55,F,550000.0,0,0,andhra_pradesh,amalapuram,2009,SC,328496,1023765,32.09,6132
19,pvchakravarthi,RPI(KH),0,Graduate Professional,54,M,200000.0,0,0,andhra_pradesh,amalapuram,2009,SC,4480,1023765,0.44,14880
20,sabbamhari,INC,0,12th Pass,55,M,85032286.0,450000,1,andhra_pradesh,anakapalle,2009,GEN,369968,1048154,35.3,3482
21,alluaravind,PRAP,1,Graduate,62,M,452181969.0,53958644,0,andhra_pradesh,anakapalle,2009,GEN,294183,1048154,28.07,6132
22,bheemisettinageswararao,RJD,0,Post Graduate,41,M,1120500.0,200000,0,andhra_pradesh,anakapalle,2009,GEN,6578,1048154,0.63,12103
23,boyinanageswararao,JD(U),0,5th Pass,52,M,500000.0,380898,0,andhra_pradesh,anakapalle,2009,GEN,3394,1048154,0.32,11002
24,nandagopalgandham,IND,0,Others,60,M,148180000.0,30000000,0,andhra_pradesh,anakapalle,2009,GEN,12322,1048154,1.18,10809
25,nookarapusuryaprakasarao,TDP,0,Graduate,50,M,119726600.0,0,0,andhra_pradesh,anakapalle,2009,GEN,317056,1048154,30.25,8300
26,pathalasatyarao,IND,0,Literate,46,M,150000.0,0,0,andhra_pradesh,anakapalle,2009,GEN,9218,1048154,0.88,10809
27,pulamarasettivenkataramana,PPOI,0,Graduate,28,M,3500.0,0,0,andhra_pradesh,anakapalle,2009,GEN,9978,1048154,0.95,6298
28,ananthavenkataramireddy,INC,0,Post Graduate,52,M,13015000.0,0,1,andhra_pradesh,anantapur,2009,GEN,457876,1000208,45.78,3482
29,amarnath,LSP,0,Graduate,32,M,488500.0,0,0,andhra_pradesh,anantapur,2009,GEN,6340,1000208,0.63,5107
30,ambatiramakrishnareddy,BJP,0,Graduate Professional,41,M,25550000.0,251000,0,andhra_pradesh,anantapur,2009,GEN,16540,1000208,1.65,1605
31,devellamurali,IND,0,5th Pass,45,M,,0,0,andhra_pradesh,anantapur,2009,GEN,4781,1000208,0.48,10809
32,gaddalanagabhushanam,BSP,2,Post Graduate,48,M,575000.0,9000,0,andhra_pradesh,anantapur,2009,SC,5921,1000208,0.59,16651
33,ghari,PPOI,0,Post Graduate,30,M,80000.0,0,0,andhra_pradesh,anantapur,2009,GEN,3232,1000208,0.32,6298
34,kalavasrinivasulu,TDP,0,Post Graduate,44,M,4205517.0,1950000,0,andhra_pradesh,anantapur,2009,GEN,379955,1000208,37.99,8300
35,kpnarayanaswamy,IND,0,Graduate,41,M,,0,0,andhra_pradesh,anantapur,2009,SC,8908,1000208,0.89,10809
36,krushnapuramgayathridevi,CPI(ML)(L),0,5th Pass,36,F,1057900.0,750000,0,andhra_pradesh,anantapur,2009,GEN,2083,1000208,0.21,2472
37,mansoor,PRAP,0,10th Pass,56,M,33790000.0,0,0,andhra_pradesh,anantapur,2009,GEN,102047,1000208,10.2,6132
38,illaramireddy,IND,0,Literate,54,M,,0,0,andhra_pradesh,araku,2009,ST,12086,792367,1.53,10809
39,kurusabojjaiah,BJP,0,10th Pass,56,M,1028805.0,0,0,andhra_pradesh,araku,2009,ST,23093,792367,2.91,1605
40,lakerajarao,BSP,0,12th Pass,50,M,350000.0,0,0,andhra_pradesh,araku,2009,ST,24331,792367,3.07,16651
41,meenakasimhachalam,PRAP,0,Graduate,43,M,2029200.0,0,0,andhra_pradesh,araku,2009,ST,128649,792367,16.24,6132
42,midiyambaburao,CPM,0,Graduate Professional,58,M,707000.0,0,0,andhra_pradesh,araku,2009,ST,168014,792367,21.2,14635
43,panabakalakshmi,INC,0,Post Graduate,50,F,16635386.0,0,1,andhra_pradesh,bapatla,2009,SC,460757,1043627,44.15,3482
44,battularosayya,BJP,0,Not Given,52,M,,0,0,andhra_pradesh,bapatla,2009,SC,14370,1043627,1.38,1605
45,darasambaiah,BSP,0,Not Given,62,M,7170000.0,698162,0,andhra_pradesh,bapatla,2009,SC,8979,1043627,0.86,16651
46,garikapatisudhakar,RDMP,0,8th Pass,32,M,60000.0,0,0,andhra_pradesh,bapatla,2009,SC,3966,1043627,0.38,6447
47,gollababurao,IND,0,Post Graduate,34,M,50000.0,0,0,andhra_pradesh,bapatla,2009,SC,1645,1043627,0.16,10809
48,gorremuchuchinnarao,IND,0,5th Pass,42,M,258000.0,110985,0,andhra_pradesh,bapatla,2009,SC,5884,1043627,0.56,10809
49,gudipallisathyababuji,IND,0,Graduate,40,M,3900000.0,0,0,andhra_pradesh,bapatla,2009,SC,6455,1043627,0.62,10809
50,malyadrisriram,TDP,0,Post Graduate,55,M,15870952.0,0,0,andhra_pradesh,bapatla,2009,SC,391419,1043627,37.51,8300
51,nuthakkiramarao,PRAP,0,Post Graduate,61,M,32825159.0,0,0,andhra_pradesh,bapatla,2009,SC,144593,1043627,13.85,6132
52,komatireddyrajgopalreddy,INC,0,Graduate,41,M,194763618.0,6057899,1,andhra_pradesh,bhongir,2009,GEN,504103,1127790,44.7,3482
53,chinthasambamurthy,BJP,0,Graduate,50,M,165000.0,0,0,andhra_pradesh,bhongir,2009,GEN,45898,1127790,4.07,1605
54,mamidigallajohnbabu,IND,0,Not Given,40,M,,0,0,andhra_pradesh,bhongir,2009,SC,4368,1127790,0.39,10809
55,medinarsimha,IND,0,10th Pass,31,M,360000.0,0,0,andhra_pradesh,bhongir,2009,SC,4378,1127790,0.39,10809
56,nomulanarsimhaiah,CPM,3,Post Graduate,53,M,10247088.0,0,0,andhra_pradesh,bhongir,2009,GEN,364215,1127790,32.29,14635
57,pallaprabhakarreddy,PPOI,0,Graduate,65,M,6600000.0,50000,0,andhra_pradesh,bhongir,2009,GEN,8355,1127790,0.74,6298
58,rachasubhadrareddy,LSP,0,Graduate,59,F,2950000.0,150000,0,andhra_pradesh,bhongir,2009,GEN,10866,1127790,0.96,5107
59,rupanirameshvaddera,IND,0,12th Pass,31,M,160000.0,0,0,andhra_pradesh,bhongir,2009,GEN,14903,1127790,1.32,10809
60,sangumallayya,IND,0,Not Given,66,M,50000.0,0,0,andhra_pradesh,bhongir,2009,GEN,5980,1127790,0.53,10809
61,sirupangiramulu,IND,1,5th Pass,55,M,1505000.0,0,0,andhra_pradesh,bhongir,2009,SC,28486,1127790,2.53,10809
62,apjithenderreddy,TDP,1,Graduate,54,M,267668583.0,3621000,0,andhra_pradesh,chevella,2009,GEN,402275,1085000,37.08,8300
