,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
5026,5026,5027,makhanlalsaini,JGP,0,Post Graduate,31,600000.0,0,0,rajasthan,sikar,2009
3179,3179,3180,maknsinghsolankibabuji,BJP,0,5th Pass,55,5838265.0,204826,1,madhya_pradesh,khargone,2009
5572,5572,5573,malairajp,IND,0,Not Given,42,,0,0,tamil_nadu,sivaganga,2009
266,266,267,malajangilamma,IND,0,Not Given,50,,0,0,andhra_pradesh,mahbubnagar,2009
7096,7096,7097,malkhansingh,IND,0,Post Graduate,63,1160211.0,0,0,uttar_pradesh,shahjahanpur,2009
2040,2040,2041,malkiatsingh,RRD,0,Graduate,54,4510000.0,0,0,himachal_pradesh,hamirpur,2009
2509,2509,2510,mallappakhatanve,IND,0,5th Pass,60,500000.0,50000,0,karnataka,chikkodi,2009
220,220,221,mallavarapujeremaih,IND,0,Graduate Professional,63,46458000.0,101000,0,andhra_pradesh,khammam,2009
122,122,123,mallelababurao,BSP,0,Post Graduate,61,15880237.0,3133480,0,andhra_pradesh,guntur,2009
2575,2575,2576,mallikarjunkharge,INC,0,Graduate Professional,67,50646533.0,5508946,1,karnataka,gulbarga,2009
2552,2552,2553,mallikarjunss,INC,1,Graduate,42,357848779.0,138105045,0,karnataka,davanagere,2009
1618,1618,1619,mallikasarabhai,IND,0,Doctorate,55,55092800.0,0,0,gujarat,gandhinagar,2009
7533,7533,7534,mallikasarkarnandy,IND,0,Graduate,49,678714.0,131056,0,west_bengal,maldaha_uttar,2009
6796,6796,6797,malooknagar,BSP,0,Graduate,43,853165000.0,0,0,uttar_pradesh,meerut,2009
70,70,71,malyadrisriram,TDP,0,Post Graduate,55,15870952.0,0,0,andhra_pradesh,bapatla,2009
1642,1642,1643,mamadnathubhainoida,IND,0,Literate,61,155000.0,0,0,gujarat,jamnagar,2009
7484,7484,7485,mamatabanerjee,AITC,0,Post Graduate,54,473194.0,0,1,west_bengal,kolkata_dakshin,2009
1960,1960,1961,mamchand,CPI,0,Literate,66,15550000.0,250000,0,haryana,karnal,2009
75,75,76,mamidigallajohnbabu,IND,0,Not Given,40,,0,0,andhra_pradesh,bhongir,2009
4754,4754,4755,mamraj,IND,0,10th Pass,44,1058000.0,414530,0,rajasthan,bharatpur,2009
4285,4285,4286,managerchaurasiya,IND,0,12th Pass,39,101000.0,0,0,national_capital_territory_of_delhi,north_east_delhi,2009
1266,1266,1267,mananmishra,BSP,0,Graduate Professional,48,17462300.0,0,0,bihar,valmiki_nagar,2009
4743,4743,4744,manaram,IND,1,Post Graduate,30,51000.0,0,0,rajasthan,barmer,2009
7585,7585,7586,manasjana,IND,0,Doctorate,36,1090308.0,850000,0,west_bengal,raiganj,2009
4850,4850,4851,manav,IND,0,Post Graduate,29,30706.0,0,0,rajasthan,jaipur,2009
5067,5067,5068,manavaulank,SP,0,10th Pass,54,30000.0,0,0,tamil_nadu,arakkonam,2009
6675,6675,6676,manbhawan,BRPP,0,Not Given,32,759500.0,0,0,uttar_pradesh,lalganj,2009
1901,1901,1902,manbirsingh,IND,0,8th Pass,30,19280500.0,400000,0,haryana,gurgaon,2009
402,402,403,mandavavasudeva,BJP,0,12th Pass,56,272711.0,185460,0,andhra_pradesh,ongole,2009
3569,3569,3570,manearvindbhiva,BBM,0,12th Pass,43,157000.0,23000,0,maharashtra,hatkanangle,2009
3656,3656,3657,manegajananpandurang,IND,0,Literate,41,101667.0,0,0,maharashtra,latur,2009
5980,5980,5981,manekagandhi,BJP,1,12th Pass,52,175685977.0,0,1,uttar_pradesh,aonla,2009
