,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
369,2,0,11,34,0,37618214.0,1200000,1,33,344,2
370,7,0,5,37,0,6022739.0,2800000,0,28,142,3
371,7,0,1,53,1,930631.0,169975,0,24,380,0
372,0,0,11,31,0,2874863.0,110000,0,33,416,0
373,8,0,1,29,0,2995000.0,1656134,0,33,109,2
374,7,0,1,28,1,7425346.0,0,0,33,357,0
375,7,0,8,39,1,5110000.0,1942,0,19,41,2
376,7,0,7,45,1,200000.0,0,0,30,505,0
377,7,0,9,46,1,220000.0,0,0,30,505,2
378,5,0,5,41,1,116791971.0,48430837,0,30,505,0
379,7,0,11,49,1,7080000.0,1300000,0,30,429,2
380,7,0,7,62,1,100000.0,0,0,1,422,0
381,0,0,5,52,0,6397000.0,2040000,0,16,112,0
382,6,0,1,69,1,11011974.0,4332082,0,1,423,0
383,6,1,5,56,0,636029024.0,30000000,0,33,517,0
384,2,0,1,57,1,110523112.0,6878160,1,18,348,0
385,7,0,8,27,1,420000.0,0,0,18,348,2
386,8,0,11,49,1,56307735.0,0,0,34,490,0
387,8,0,0,53,1,4390000.0,220000,0,27,213,2
388,8,3,0,44,1,36766971.0,4224902,0,14,285,3
389,8,0,5,45,1,828710.0,0,0,3,152,0
390,2,0,5,54,1,7813475.0,0,0,16,164,0
391,3,0,3,56,1,1016000.0,0,0,35,265,0
392,8,1,1,37,1,3844989.0,0,0,19,95,0
393,3,0,3,39,1,255000.0,0,0,19,95,0
394,2,0,11,39,1,30385000.0,0,1,33,201,2
395,7,0,8,39,1,1702500.0,0,0,33,171,0
396,8,0,5,43,1,8604192.0,600000,0,25,339,3
397,8,10,11,49,1,8468000.0,0,0,30,262,0
398,6,0,5,57,1,5410884.0,4211050,1,16,399,0
399,9,5,11,47,0,36108915.0,2167687,0,18,49,0
400,8,0,5,44,1,4480097.0,2220000,0,18,330,3
401,8,0,11,47,1,71875216.0,7343000,0,33,334,0
402,7,1,1,28,1,91000.0,0,0,27,213,2
403,8,0,11,27,0,525564.0,10000,0,25,221,2
404,0,0,4,32,1,4866883.0,0,1,35,108,2
405,8,0,6,55,1,6879500.0,0,0,33,238,0
406,7,0,1,45,1,6930000.0,0,0,34,180,0
407,8,0,11,56,1,4737100.0,3549764,0,3,155,0
408,8,2,11,33,0,26858156.0,1805603,1,33,343,0
409,8,0,0,65,1,13153500.0,152500,0,11,476,0
410,3,0,1,55,0,316366402.0,0,0,33,242,0
411,7,0,1,30,1,1585000.0,0,0,33,171,0
412,2,10,5,39,1,46535803.0,2074555,1,12,200,0
413,7,1,1,38,0,115649612.0,1878947,0,4,521,0
414,7,0,5,58,1,2886450.0,0,0,15,509,0
415,8,0,10,38,1,770380.0,0,0,4,316,0
416,8,1,8,37,1,427101.0,0,0,30,500,0
417,7,0,0,38,1,901857.0,0,0,18,279,0
418,7,0,0,47,1,77000.0,0,0,18,194,0
419,7,0,11,50,1,4809396.0,0,0,16,325,0
420,8,0,5,65,1,33582876.0,2700000,1,30,429,0
421,3,0,7,70,1,1100000.0,500000,0,15,203,0
422,8,0,1,41,1,859410.0,350000,0,0,28,0
423,6,0,5,50,0,27791663.0,7903022,0,25,134,0
424,7,0,5,35,0,8213000.0,0,0,33,450,0
425,0,0,11,28,0,3271869.0,200000,1,35,32,2
426,7,1,3,43,1,425000.0,0,0,33,342,0
427,8,4,5,60,1,140831576.0,1386969,1,31,322,0
428,7,0,8,53,1,1581000.0,0,0,30,503,0
429,7,0,5,60,1,31500.0,0,0,1,23,0
430,3,0,0,62,1,7611000.0,0,0,16,216,0
431,7,0,1,41,1,155000.0,0,0,1,208,0
432,7,0,0,46,1,840000.0,0,0,15,289,2
433,7,0,8,32,1,55620.0,0,0,16,519,0
434,7,0,1,44,1,6180000.0,0,0,33,447,0
435,3,0,11,51,1,32724982.0,2506410,0,33,447,0
436,7,0,11,76,1,270800.0,0,0,25,84,0
437,2,1,5,37,1,45433720.0,7544250,0,15,417,3
438,3,0,1,63,1,10373421.0,3400000,0,30,494,2
439,8,4,11,47,1,81788578.0,19687720,0,30,429,0
440,8,0,0,48,1,67000.0,0,0,33,320,0
441,7,0,6,40,1,662000.0,0,0,15,332,0
442,8,0,11,45,0,29734417.0,1000000,0,33,242,0
443,4,12,5,43,0,3550053.0,0,0,35,432,2
444,8,0,11,47,0,2392500.0,0,0,33,416,0
445,7,0,0,76,1,482295.0,0,0,30,473,0
446,7,0,1,44,1,3149700.0,1300000,0,30,148,0
447,7,0,11,50,1,7145500.0,1260000,0,30,148,0
448,8,0,5,51,1,4137000.0,815000,0,25,360,3
449,8,1,2,57,1,620000.0,21000,0,1,252,2
450,8,0,0,58,1,1526630.0,0,0,19,349,2
451,3,0,6,66,1,7817500.0,0,0,25,87,2
