,Unnamed: 0,Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
5643,5643,GE,tamil_nadu,chennai_north,17,2,2019,4,24,jdharanidharan,M,IND,402,,955545,1487681,64.23,0.04,0,0.0,10809,Graduate Professional
5644,5644,GE,tamil_nadu,chennai_south,17,3,2019,4,1,sumathyaliasthamizhachithangapandian,F,DMK,564872,GEN,1125857,1973533,57.05,50.17,262223,23.29,10192,Doctorate
5645,5645,GE,tamil_nadu,chennai_south,17,3,2019,4,2,drjjayavardhan,M,ADMK,302649,GEN,1125857,1973533,57.05,26.88,167184,14.85,930,Graduate Professional
5646,5646,GE,tamil_nadu,chennai_south,17,3,2019,4,3,rrangarajan,M,MNM,135465,,1125857,1973533,57.05,12.03,85243,7.57,24404,Graduate
5647,5647,GE,tamil_nadu,chennai_south,17,3,2019,4,4,ajsherine,F,NTK,50222,,1125857,1973533,57.05,4.46,20700,1.84,5533,Post Graduate
5648,5648,GE,tamil_nadu,chennai_south,17,3,2019,4,5,dresubayaaesakkisubaya,M,IND,29522,,1125857,1973533,57.05,2.62,12631,1.12,10809,Doctorate
5649,5649,GE,tamil_nadu,chennai_south,17,3,2019,4,6,nota,,NOTA,16891,,1125857,1973533,57.05,1.5,14492,1.29,5897,
5650,5650,GE,tamil_nadu,chennai_south,17,3,2019,4,7,kotturrkumar,M,BSP,2399,,1125857,1973533,57.05,0.21,754,0.07,16651,Graduate
5651,5651,GE,tamil_nadu,chennai_south,17,3,2019,4,8,ksaravanaperumal,M,IND,1645,,1125857,1973533,57.05,0.15,154,0.01,10809,Graduate
5652,5652,GE,tamil_nadu,chennai_south,17,3,2019,4,9,saikumars,M,SUCI(C),1491,,1125857,1973533,57.05,0.13,47,0.0,8082,12th Pass
5653,5653,GE,tamil_nadu,chennai_south,17,3,2019,4,10,agnisriramachandran,M,IND,1444,,1125857,1973533,57.05,0.13,15,0.0,10809,10th Pass
5654,5654,GE,tamil_nadu,chennai_south,17,3,2019,4,11,murthym,M,IND,1429,SC,1125857,1973533,57.05,0.13,48,0.0,10809,8th Pass
5655,5655,GE,tamil_nadu,chennai_south,17,3,2019,4,12,dranaresh,M,TNLK,1381,,1125857,1973533,57.05,0.12,178,0.02,24405,Graduate Professional
5656,5656,GE,tamil_nadu,chennai_south,17,3,2019,4,13,dkarthick,M,IND,1203,,1125857,1973533,57.05,0.11,161,0.01,10809,Graduate Professional
5657,5657,GE,tamil_nadu,chennai_south,17,3,2019,4,14,mradha,O,IND,1042,,1125857,1973533,57.05,0.09,74,0.01,10809,12th Pass
5658,5658,GE,tamil_nadu,chennai_south,17,3,2019,4,15,farmerkjayaraman,M,IND,968,,1125857,1973533,57.05,0.09,9,0.0,10809,12th Pass
5659,5659,GE,tamil_nadu,chennai_south,17,3,2019,4,16,selankumaran,M,IND,959,,1125857,1973533,57.05,0.09,99,0.01,10809,Graduate Professional
5660,5660,GE,tamil_nadu,chennai_south,17,3,2019,4,17,kmuralikrishnan,M,PPOI,860,,1125857,1973533,57.05,0.08,88,0.01,6298,Graduate
5661,5661,GE,tamil_nadu,chennai_south,17,3,2019,4,18,mrajeswaripriya,F,IND,772,,1125857,1973533,57.05,0.07,29,0.0,10809,Graduate
5662,5662,GE,tamil_nadu,chennai_south,17,3,2019,4,19,ichidambaraanantharajaaicarrweeoui,M,IND,743,,1125857,1973533,57.05,0.07,70,0.01,10809,Graduate Professional
5663,5663,GE,tamil_nadu,chennai_south,17,3,2019,4,20,rganesan,M,IND,673,,1125857,1973533,57.05,0.06,3,0.0,10809,Graduate Professional
5664,5664,GE,tamil_nadu,chennai_south,17,3,2019,4,21,ssrinivasanapowerstar,M,RPI,670,,1125857,1973533,57.05,0.06,23,0.0,6911,10th Pass
5665,5665,GE,tamil_nadu,chennai_south,17,3,2019,4,22,sibichakkaravarthy,M,IND,647,,1125857,1973533,57.05,0.06,8,0.0,10809,Graduate Professional
5666,5666,GE,tamil_nadu,chennai_south,17,3,2019,4,23,majayakumar,F,DMSK,639,,1125857,1973533,57.05,0.06,4,0.0,2953,10th Pass
5667,5667,GE,tamil_nadu,chennai_south,17,3,2019,4,24,kkannan,M,IND,635,,1125857,1973533,57.05,0.06,82,0.01,10809,Graduate
5668,5668,GE,tamil_nadu,chennai_south,17,3,2019,4,25,pazhagiri,M,IND,553,,1125857,1973533,57.05,0.05,20,0.0,10809,Graduate Professional
5669,5669,GE,tamil_nadu,chennai_south,17,3,2019,4,26,bkarthikeyan,M,IND,533,,1125857,1973533,57.05,0.05,21,0.0,10809,Graduate
5670,5670,GE,tamil_nadu,chennai_south,17,3,2019,4,27,rjohnson,M,ICF,512,,1125857,1973533,57.05,0.05,14,0.0,3340,10th Pass
5671,5671,GE,tamil_nadu,chennai_south,17,3,2019,4,28,crosi,F,IND,498,,1125857,1973533,57.05,0.04,36,0.0,10809,12th Pass
5672,5672,GE,tamil_nadu,chennai_south,17,3,2019,4,29,gdevasahayam,M,IND,462,,1125857,1973533,57.05,0.04,25,0.0,10809,Post Graduate
5673,5673,GE,tamil_nadu,chennai_south,17,3,2019,4,30,gdhanasekaran,M,IND,437,,1125857,1973533,57.05,0.04,1,0.0,10809,Graduate Professional
5674,5674,GE,tamil_nadu,chennai_south,17,3,2019,4,31,vthirunavukarasu,M,MKat,436,,1125857,1973533,57.05,0.04,4,0.0,5299,10th Pass
